inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
1,SUPREMOS,Abhishek Pingley,abhishek pingley,38.0,13.0,4.0,2.0,292.31,c Anubhav Agarwal b Jeremy James,Zen Cricket Team,4,clt20s_pdf,5,txt
1,SUPREMOS,Navratan Bengani,navratan bengani,8.0,7.0,1.0,0.0,114.29,c Rohit Sarvaria b Ashlesh Shah,Zen Cricket Team,5,clt20s_pdf,5,txt
1,SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,10.0,9.0,1.0,0.0,111.11,c Aviral b Parhtheshwar Sharma,Zen Cricket Team,6,clt20s_pdf,5,txt
1,SUPREMOS,Varun Sood,varun sood,20.0,15.0,2.0,0.0,133.33,not out,Zen Cricket Team,7,clt20s_pdf,5,txt
1,SUPREMOS,Rahul Agarwal,rahul agarwal,0.0,1.0,0.0,0.0,0.0,lbw b Jeremy James,Zen Cricket Team,8,clt20s_pdf,5,txt
1,SUPREMOS,Rajan Singh,rajan singh,16.0,6.0,2.0,1.0,266.67,not out,Zen Cricket Team,9,clt20s_pdf,5,txt
1,SUPREMOS,Pratik Chitalia,pratik chitalia,3.0,8.0,0.0,0.0,37.5,b Ashwath Nair,Falcons,1,clt20s_pdf,6,txt
1,SUPREMOS,Ameya Deshpande,ameya deshpande,55.0,41.0,7.0,0.0,134.15,run out Ashwath Nair / † Arkaprovo Das,Falcons,2,clt20s_pdf,6,txt
1,SUPREMOS,Jay Kedia,jay kedia,15.0,11.0,2.0,0.0,136.36,c Shakib Alam b Yash Kasangottuwar,Falcons,3,clt20s_pdf,6,txt
1,SUPREMOS,Abhishek Pingley,abhishek pingley,13.0,11.0,2.0,0.0,118.18,b Suvaaankoor Das,Falcons,4,clt20s_pdf,6,txt
1,SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,38.0,22.0,3.0,2.0,172.73,b Ashwath Nair,Falcons,5,clt20s_pdf,6,txt
1,SUPREMOS,Navratan Bengani,navratan bengani,2.0,5.0,0.0,0.0,40.0,b Vijayendra Sharma,Falcons,6,clt20s_pdf,6,txt
1,SUPREMOS,Rahul Agarwal,rahul agarwal,4.0,4.0,0.0,0.0,100.0,st †Arkaprovo Das b Suvaaankoor Das,Falcons,7,clt20s_pdf,6,txt
1,SUPREMOS,Rajan Singh,rajan singh,25.0,13.0,2.0,1.0,192.31,run out † Arkaprovo Das / † Arkaprovo Das,Falcons,8,clt20s_pdf,6,txt
1,SUPREMOS,Varun Sood,varun sood,3.0,4.0,0.0,0.0,75.0,run out Abhijeet Gomare / † Arkaprovo Das,Falcons,9,clt20s_pdf,6,txt
1,SUPREMOS,Aditya Jain,aditya jain,0.0,1.0,0.0,0.0,0.0,not out,Falcons,10,clt20s_pdf,6,txt
1,SUPREMOS,Pratik Chitalia,pratik chitalia,0.0,3.0,0.0,0.0,0.0,b Deepak Gaikwad,Group Satellite Developers,1,clt20s_pdf,7,txt
1,SUPREMOS,Abhishek Pingley,abhishek pingley,12.0,6.0,3.0,0.0,200.0,run out Deepak Gaikwad,Group Satellite Developers,2,clt20s_pdf,7,txt
1,SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,10.0,9.0,2.0,0.0,111.11,run out Krish Pardhi,Group Satellite Developers,3,clt20s_pdf,7,txt
1,SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,4.0,7.0,1.0,0.0,57.14,lbw b Deepak Gaikwad,Group Satellite Developers,4,clt20s_pdf,7,txt
1,SUPREMOS,Rahul Agarwal,rahul agarwal,12.0,24.0,1.0,0.0,50.0,b Vishal Yadav,Group Satellite Developers,5,clt20s_pdf,7,txt
1,SUPREMOS,Vivek Singh,vivek singh,3.0,6.0,0.0,0.0,50.0,run out † Shaker khan,Group Satellite Developers,6,clt20s_pdf,7,txt
1,SUPREMOS,Milan Sen,milan sen,16.0,27.0,0.0,0.0,59.26,c Kavaldeep Singh b Krish Pardhi,Group Satellite Developers,7,clt20s_pdf,7,txt
1,SUPREMOS,Rajan Singh,rajan singh,16.0,11.0,0.0,1.0,145.45,not out,Group Satellite Developers,8,clt20s_pdf,7,txt
1,SUPREMOS,Jairaj,jairaj,9.0,7.0,1.0,0.0,128.57,c&b Krish Pardhi,Group Satellite Developers,9,clt20s_pdf,7,txt
1,SUPREMOS,Shivam Tiwari,shivam tiwari,5.0,4.0,0.0,0.0,125.0,b Kavaldeep Singh,Group Satellite Developers,10,clt20s_pdf,7,txt
1,SUPREMOS,Pradeep Tewani,pradeep tewani,0.0,1.0,0.0,0.0,0.0,lbw b Kavaldeep Singh,Group Satellite Developers,11,clt20s_pdf,7,txt
1,JNS SUPREMOS (MT20CB 3.0),Pratik Chitalia,pratik chitalia,41.0,38.0,3.0,0.0,107.89,c Hitesh K b Aditya S,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),1,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Nitin H,nitin h,36.0,21.0,3.0,3.0,171.43,St Rajesh U b Mangesh D,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),2,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Lavesh Kalsekar,lavesh kalsekar,62.0,36.0,7.0,2.0,172.22,lbw b Sunil L,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),3,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Kanav Hingorani,kanav hingorani,14.0,12.0,2.0,0.0,116.67,c Ashok Y b Sunil L,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),4,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Urvish,urvish,11.0,6.0,0.0,1.0,183.33,not out,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),5,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Rahul Agarwal,rahul agarwal,1.0,4.0,0.0,0.0,25.0,c Ashok Y b Sunil L,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),6,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Shakti Dholakia,shakti dholakia,0.0,2.0,0.0,0.0,0.0,b Sunil L,SOMAIYA SPORTS ACADEMY (MT20CB 3.0),7,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Varun Sood,varun sood,1.0,1.0,0.0,0.0,100.0,run out ( Aditya S ),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),8,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Pratik Chitalia,pratik chitalia,11.0,9.0,1.0,1.0,122.22,b Manish S,BOMBAY VIKINGS (MT20CB 3.0),1,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Varun Sood,varun sood,7.0,6.0,1.0,0.0,116.67,lbw b Manish S,BOMBAY VIKINGS (MT20CB 3.0),2,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Abhishek Pingley,abhishek pingley,4.0,9.0,0.0,0.0,44.44,b Manish S,BOMBAY VIKINGS (MT20CB 3.0),3,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Rajan Singh,rajan singh,0.0,1.0,0.0,0.0,0.0,b Manish S,BOMBAY VIKINGS (MT20CB 3.0),4,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Jay Kedia,jay kedia,58.0,48.0,5.0,0.0,120.83,c Shiv N b Vinay B,BOMBAY VIKINGS (MT20CB 3.0),5,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Rahul Agarwal,rahul agarwal,0.0,1.0,0.0,0.0,0.0,lbw b Manish S,BOMBAY VIKINGS (MT20CB 3.0),6,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Nihir Garodia,nihir garodia,14.0,22.0,0.0,0.0,63.64,c Mehyul G b Hitesh B,BOMBAY VIKINGS (MT20CB 3.0),7,zootermt20cb3,3985,playwright
