inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
2,JNS SUPREMOS,Ameya Deshpande,ameya deshpande,1.0,2.0,0.0,0.0,50.0,b Jay P,JNS RANGERS,9,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Sheel Vora,sheel vora,1.0,3.0,0.0,0.0,33.33,run out ( Jaymin M ),JNS RANGERS,10,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Aditya Jain,aditya jain,2.0,2.0,0.0,0.0,100.0,not out,JNS RANGERS,11,jfscdpl202526,5444,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,22.0,26.0,2.0,0.0,84.62,b Yusuf P,SVKM RISING STRIKERS,1,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,36.0,31.0,2.0,2.0,116.13,run out ( Gaurav A ),SVKM RISING STRIKERS,2,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,17.0,14.0,0.0,2.0,121.43,b Yusuf P,SVKM RISING STRIKERS,3,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,30.0,22.0,5.0,0.0,136.36,c Nirav D b Prince D,SVKM RISING STRIKERS,4,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Kanav Hingorani,kanav hingorani,21.0,12.0,2.0,1.0,175.0,c † Ketankumar R b Priyul S,SVKM RISING STRIKERS,5,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,5.0,5.0,1.0,0.0,100.0,run out ( Prince D ),SVKM RISING STRIKERS,6,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,13.0,7.0,1.0,0.0,185.71,not out,SVKM RISING STRIKERS,7,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Pradeep Tewani,pradeep tewani,1.0,1.0,0.0,0.0,100.0,not out,SVKM RISING STRIKERS,8,jfscdpl202526,5474,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,15.0,10.0,1.0,1.0,150.0,run out ( Amit M ),AVM ARYANS,1,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,2.0,8.0,0.0,0.0,25.0,c Nishant P b Akshay B,AVM ARYANS,2,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,10.0,11.0,2.0,0.0,90.91,b Anish .,AVM ARYANS,3,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,11.0,8.0,0.0,1.0,137.5,c&b Manindra S,AVM ARYANS,4,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,2.0,8.0,0.0,0.0,25.0,b Arjav P,AVM ARYANS,5,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Pritesh Magodia,pritesh magodia,10.0,10.0,2.0,0.0,100.0,c † Amit M b Nishant P,AVM ARYANS,6,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Kanav Hingorani,kanav hingorani,27.0,17.0,2.0,2.0,158.82,b Manindra S,AVM ARYANS,7,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Navratan Bengani,navratan bengani,14.0,16.0,2.0,0.0,87.5,not out,AVM ARYANS,8,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Aditya Jain,aditya jain,1.0,5.0,0.0,0.0,20.0,b Nishant P,AVM ARYANS,9,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Pradeep Tewani,pradeep tewani,1.0,6.0,0.0,0.0,16.67,c&b Mahesh B,AVM ARYANS,10,jfscdpl202526,5525,playwright
2,JNS SUPREMOS,Vishal Baxi,vishal baxi,3.0,6.0,0.0,0.0,50.0,b Nishant P,AVM ARYANS,11,jfscdpl202526,5525,playwright
1,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,58.0,33.0,6.0,2.0,175.76,c Vishal P b Chetan K,AVM YODDHAS,1,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Varun Sood,varun sood,1.0,4.0,0.0,0.0,25.0,b Saurabh M,AVM YODDHAS,2,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,15.0,14.0,1.0,0.0,107.14,St Nilay S b Vishal P,AVM YODDHAS,3,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,9.0,8.0,1.0,0.0,112.5,b Rishi M,AVM YODDHAS,4,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Kanav Hingorani,kanav hingorani,2.0,5.0,0.0,0.0,40.0,c Jayesh C b Chetan K,AVM YODDHAS,5,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Sheel Vora,sheel vora,26.0,20.0,2.0,1.0,130.0,b Kaustubh G,AVM YODDHAS,6,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Pritesh Magodia,pritesh magodia,3.0,7.0,0.0,0.0,42.86,lbw b Chetan K,AVM YODDHAS,7,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,24.0,24.0,3.0,0.0,100.0,not out,AVM YODDHAS,8,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Jairaj,jairaj,1.0,2.0,0.0,0.0,50.0,c Rishi M b Saurabh M,AVM YODDHAS,9,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Aditya Jain,aditya jain,0.0,2.0,0.0,0.0,0.0,c&b Saurabh M,AVM YODDHAS,10,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Pradeep Tewani,pradeep tewani,1.0,1.0,0.0,0.0,100.0,not out,AVM YODDHAS,11,jfscdpl202526,5537,playwright
1,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,9.0,10.0,2.0,0.0,90.0,c Sahil S b Nimit .,OIS TIGERS,1,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Jairaj,jairaj,44.0,31.0,3.0,2.0,141.94,c Sahil S b Manav G,OIS TIGERS,2,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Jay Kedia,jay kedia,41.0,42.0,5.0,0.0,97.62,run out ( Sahil S ),OIS TIGERS,3,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,8.0,8.0,1.0,0.0,100.0,c Sharad K b Manav G,OIS TIGERS,4,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,17.0,13.0,1.0,0.0,130.77,run out ( Sahil S / Manav G ),OIS TIGERS,5,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Navratan Bengani,navratan bengani,11.0,8.0,1.0,0.0,137.5,not out,OIS TIGERS,6,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Varun Sood,varun sood,1.0,4.0,0.0,0.0,25.0,St Vicky S b Sahil S,OIS TIGERS,7,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Aditya Jain,aditya jain,5.0,4.0,1.0,0.0,125.0,not out,OIS TIGERS,8,jfscdpl202526,5553,playwright
1,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,20.0,17.0,3.0,0.0,117.65,run out ( Ritesh B / Kamesh S ),UNITED GLADDIATORS,1,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,12.0,15.0,2.0,0.0,80.0,c Sadanand P b Pratik D,UNITED GLADDIATORS,2,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,31.0,18.0,4.0,2.0,172.22,b Shreyansh .,UNITED GLADDIATORS,3,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Jay Kedia,jay kedia,17.0,19.0,0.0,0.0,89.47,c Pratik D b Andy .,UNITED GLADDIATORS,4,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,22.0,23.0,1.0,0.0,95.65,c Pratik D b Alok M,UNITED GLADDIATORS,5,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Tanmay Godiawala,tanmay godiawala,9.0,5.0,1.0,0.0,180.0,c Sandeep J b Pratik D,UNITED GLADDIATORS,6,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Varun Sood,varun sood,18.0,10.0,3.0,0.0,180.0,not out,UNITED GLADDIATORS,7,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Aditya Jain,aditya jain,16.0,11.0,2.0,0.0,145.45,c Ronak M b Pratik D,UNITED GLADDIATORS,8,jfscdpl202526,5770,playwright
1,JNS SUPREMOS,Jairaj,jairaj,3.0,2.0,0.0,0.0,150.0,not out,UNITED GLADDIATORS,9,jfscdpl202526,5770,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,5.0,4.0,1.0,0.0,125.0,c Satish S b Vaseem L,JBCN AVENGERS,1,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Aditya Jain,aditya jain,0.0,2.0,0.0,0.0,0.0,b Rayed M,JBCN AVENGERS,2,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,18.0,12.0,3.0,1.0,150.0,c&b Rayed M,JBCN AVENGERS,3,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,37.0,24.0,7.0,1.0,154.17,b Muddassar V,JBCN AVENGERS,4,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,36.0,34.0,2.0,1.0,105.88,lbw b Vineet K,JBCN AVENGERS,5,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Navratan Bengani,navratan bengani,0.0,2.0,0.0,0.0,0.0,St Satish S b Muddassar V,JBCN AVENGERS,6,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,27.0,23.0,1.0,0.0,117.39,St Satish S b Vineet K,JBCN AVENGERS,7,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Tanmay Godiawala,tanmay godiawala,4.0,6.0,0.0,0.0,66.67,b Kartik .,JBCN AVENGERS,8,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,15.0,12.0,0.0,1.0,125.0,not out,JBCN AVENGERS,9,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Pritesh Magodia,pritesh magodia,1.0,1.0,0.0,0.0,100.0,not out,JBCN AVENGERS,10,jfscdpl202526,5840,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,0.0,5.0,0.0,0.0,0.0,b Hitesh .,JNS MUSTANGS,1,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Aditya Jain,aditya jain,16.0,13.0,2.0,1.0,123.08,c Meet S b Rohit S,JNS MUSTANGS,2,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Abhishek Pingley,abhishek pingley,0.0,3.0,0.0,0.0,0.0,b Hitesh .,JNS MUSTANGS,3,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,6.0,8.0,1.0,0.0,75.0,c Jekin S b Rohit S,JNS MUSTANGS,4,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Ameya Deshpande,ameya deshpande,27.0,33.0,1.0,0.0,81.82,run out ( Jekin S ),JNS MUSTANGS,5,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Navratan Bengani,navratan bengani,38.0,37.0,4.0,0.0,102.7,not out,JNS MUSTANGS,6,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Tanmay Godiawala,tanmay godiawala,11.0,5.0,1.0,1.0,220.0,c Viral A b Jekin S,JNS MUSTANGS,7,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,0.0,2.0,0.0,0.0,0.0,c † Rishiraj L b Jekin S,JNS MUSTANGS,8,jfscdpl202526,5851,playwright
2,JNS SUPREMOS,Jairaj,jairaj,1.0,1.0,0.0,0.0,100.0,not out,JNS MUSTANGS,9,jfscdpl202526,5851,playwright
