tournamentkey,matchid,source,inningsno,bowlingteam,opponent,bowlername,playerkey,overs,maidens,runsconceded,wickets,econ
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Vishal Baxi,vishal baxi,3,0.0,10.0,1.0,3.33
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Pradeep Tewani,pradeep tewani,3,0.0,26.0,1.0,8.67
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Varun Sood,varun sood,4,0.0,18.0,1.0,4.5
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Pritesh Magodia,pritesh magodia,2,0.0,9.0,0.0,4.5
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Kanav Hingorani,kanav hingorani,2,0.0,23.0,0.0,11.5
clt20s_pdf,3,txt,1,SUPREMOS,CENTRAL AVENGERS,Abhishek P,abhishek p,4,0.0,40.0,1.0,10.0
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Smit Desai,smit desai,4,0.0,23.0,1.0,5.75
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Rahul Thakkar,rahul thakkar,2,0.0,22.0,0.0,11.0
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Jigar Ruparel,jigar ruparel,3,0.0,28.0,0.0,9.33
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Arjun Dadarkar,arjun dadarkar,3,0.0,20.0,0.0,6.67
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Harshil Shah,harshil shah,2,0.0,17.0,1.0,8.5
clt20s_pdf,3,txt,2,CENTRAL AVENGERS,SUPREMOS,Khushal desai,khushal desai,3,0.0,26.0,1.0,8.67
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Shazad Shroff,shazad shroff,3,0.0,18.0,1.0,6.0
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Karan,karan,3,0.0,20.0,2.0,6.67
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Sachin M,sachin m,3,0.0,29.0,3.0,9.67
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Harry,harry,3,0.0,13.0,1.0,4.33
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Harsh Rajeev Chhabria,harsh rajeev chhabria,4,0.0,24.0,1.0,6.0
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Raunak Singh,raunak singh,1,0.0,23.0,0.0,23.0
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Adnan,adnan,2,0.0,13.0,1.0,6.5
clt20s_pdf,4,txt,1,MISFITS,SUPREMOS,Harsh,harsh,1,0.0,17.0,0.0,17.0
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Vishal Baxi,vishal baxi,3.3,0.0,21.0,2.0,6.0
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Shivam Tiwari,shivam tiwari,3,0.0,38.0,0.0,12.67
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Varun Sood,varun sood,3,0.0,22.0,1.0,7.33
